lat,long,n
40.6332439,-73.8960812,1
40.6333373,-73.8823302,2
40.6336748,-73.9779357,1
40.633778,-74.1398465,1
40.634065,-74.130923,1
40.634234,-74.16588399999999,1
40.63427,-74.007003,1
40.6344691,-74.1307171,1
40.634843,-74.142015,2
40.6348734,-74.1446175,1
40.6350238,-73.9932183,1
40.63512,-73.933711,1
40.635328,-73.9026956,1
40.63564350000001,-74.0909372,1
40.6356502,-74.00418990000001,1
40.6357461,-74.1191267,1
40.63579540000001,-74.1456726,1
40.6359381,-74.1486887,1
40.6360663,-74.1451221,2
40.63627040000001,-73.92707349999999,1
40.63627169999999,-74.0820691,4
40.6363059,-74.0865779,1
40.6364019,-73.95193499999999,1
40.6364043,-73.9903743,1
40.636411,-73.885503,1
40.6367009,-73.9372815,1
40.63673379999999,-73.8990284,1
40.636989,-73.909526,1
40.637147,-73.89911599999999,1
40.637361,-74.008523,2
40.63750530000001,-74.0837203,1
40.6376617,-73.9908884,1
40.638082,-73.9165896,1
40.6384255,-73.89182079999999,1
40.638444,-73.98217,2
40.6384726,-74.1709937,1
40.638497,-74.0805091,1
40.6385522,-74.1870474,1
40.638577,-73.83205199999999,2
40.63879,-73.937404,1
40.639472,-73.90274699999999,1
40.6396129,-73.95674269999999,1
40.6397108,-73.9227607,1
40.6398276,-74.07897179999999,2
40.63983899999999,-74.01178,1
40.6398878,-73.95352439999999,1
40.6398981,-73.94530259999999,1
40.6404225,-73.9481746,2
40.6407069,-74.0147496,1
40.6407547,-73.9424229,1
40.6409255,-73.9954429,1
40.640929,-73.903357,1
40.6413111,-73.77813909999999,3
40.6414794,-73.9709249,1
40.6415171,-74.0867859,1
40.641675,-73.909742,1
40.641745,-74.007038,1
40.642171,-74.002971,1
40.6425905,-73.9876058,1
40.6429773,-74.07668869999999,1
40.6430175,-74.00860089999999,1
40.6434346,-74.01622809999999,1
40.643641,-73.98573999999999,1
40.6438205,-74.07738859999999,3
40.644228,-73.92871,1
40.644368,-74.007098,2
40.644441,-73.9591725,1
40.6445246,-73.9459928,1
40.6448268,-73.9515498,1
40.64489409999999,-73.901731,1
40.6449353,-73.9086954,1
40.64525889999999,-73.9485598,1
40.6454613,-74.0023314,10
40.6457996,-73.96163729999999,1
40.6458435,-74.0017111,1
40.6460152,-74.0204416,1
40.6461214,-74.0841712,1
40.646296,-73.9528936,1
40.6465731,-73.9035524,1
40.6467175,-73.93155039999999,1
40.646817,-73.999135,1
40.6469151,-73.970743,3
40.6472724,-73.95029579999999,1
40.64791719999999,-73.95420639999999,1
40.64803330000001,-73.89725899999999,1
40.6481084,-73.9490701,1
40.6483189,-73.9210791,1
40.6493645,-73.8915452,1
40.6494267,-73.9626778,1
40.6499485,-73.9731773,1
40.6502018,-73.9556155,1
40.6502288,-73.9129841,1
40.650779,-74.014184,1
40.650924,-73.84331499999999,2
40.651126,-73.94689699999999,1
40.6511721,-74.0043628,1
40.6512425,-74.0081496,1
40.6521492,-73.9260996,1
40.6527101,-73.9596152,1
40.6527513,-73.9370728,1
40.65307,-73.725797,1
40.6534254,-73.9603664,1
40.6537818,-73.9433645,1
40.653902,-73.963578,1
40.6539165,-73.9170259,1
40.65411599999999,-73.831941,1
40.654296,-73.95989569999999,1
40.6547026,-73.74330909999999,2
40.6548508,-73.9193109,1
40.6549369,-73.9285307,1
40.6554315,-74.00626059999999,1
40.6559156,-73.9115947,1
40.6560153,-73.93498360000001,1
40.6561392,-73.7674564,1
40.656275,-73.95975,2
40.6563209,-74.0082199,1
40.6563804,-73.9134923,1
40.6563843,-73.87906199999999,1
40.6571849,-73.9145343,1
40.657807,-73.9293459,1
40.657912,-73.897701,1
40.658187,-73.913899,1
40.658349,-73.75540500000001,1
40.658645,-73.756508,1
40.6592937,-73.9937764,1
40.6594592,-73.8846606,1
40.6599865,-73.9948473,1
40.66001420000001,-73.9290359,1
40.660073,-73.915785,1
40.6603299,-73.9399269,1
40.660349,-73.87457309999999,1
40.6605925,-73.88863979999999,1
40.6607692,-73.997317,1
40.6612368,-73.9099462,1
40.66158799999999,-73.887157,1
40.6616367,-73.8827137,1
40.6621993,-73.9424282,1
40.662375,-73.8911777,1
40.6624916,-73.9248566,1
40.6625858,-73.9274859,1
40.663122,-73.768996,1
40.663171,-73.89587449999999,1
40.6634455,-73.9030192,1
40.6634541,-73.8944735,1
40.6635485,-73.9255517,1
40.6641156,-73.9815452,1
40.664394,-73.757111,1
40.6644738,-73.90517480000001,1
40.664579,-73.78018,1
40.6646109,-73.9577626,1
40.6646238,-73.9229192,5
40.6647205,-73.9583311,1
40.66492,-73.92338099999999,1
40.6651423,-73.9581408,1
40.6654576,-73.9300119,1
40.6656588,-73.9577862,3
40.66609,-73.9351325,1
40.6662989,-73.9303563,1
40.666327,-73.94656599999999,1
40.6663566,-73.9035324,1
40.6664206,-73.9784662,1
40.6664256,-73.9141449,1
40.6666734,-73.98683660000002,1
40.667233,-73.852216,1
40.6673398,-73.9337318,1
40.667376,-73.754368,1
40.667873,-73.748699,2
40.66789,-73.9574432,1
40.6679677,-73.95295039999999,1
40.6680893,-73.94592449999999,1
40.6681093,-73.92909329999999,1
40.6681686,-73.9537619,1
40.668184,-73.88429889999999,1
40.66820300000001,-73.8835524,1
